week,staff_id,staff_name,role,service,present
11,STF-b0bc8d3f,Brian Ramirez,nurse,emergency,1
33,STF-ec102fe1,John Daniel,nurse,general_medicine,1
40,STF-2c8eaa98,Ethan Adams,nurse,surgery,1
42,STF-651ff617,John Daniel,nurse,emergency,1
40,STF-5e560b99,Noah Rhodes,doctor,emergency,1
17,STF-7510a5e3,Jessica Smith,nursing_assistant,ICU,0
23,STF-63bcaa58,Anna Henderson,nurse,ICU,0
14,STF-ec102fe1,James Brown,nursing_assistant,general_medicine,1
26,STF-038ff4c9,Zachary Ferrell,nurse,general_medicine,0
39,STF-abfdc900,Julia Torres,nursing_assistant,general_medicine,1
22,STF-a493e575,Christopher Bass,nursing_assistant,emergency,1
38,STF-a2ef0542,Denise Jacobs,nurse,general_medicine,1
47,STF-cf0f00c3,Cameron Parker,nursing_assistant,ICU,1
3,STF-b13eeb99,James Ferrell,nurse,general_medicine,1
31,STF-cf9225db,Garrett Lin,nursing_assistant,ICU,1
23,STF-4f1df27e,Connor West,nursing_assistant,general_medicine,1
45,STF-a493e575,Kelly Donovan,nurse,surgery,1
31,STF-6a7114cb,April Frost,nurse,ICU,1
45,STF-2dcdd6fb,Cassandra Gaines,nurse,general_medicine,1
26,STF-2a9c9bdb,Gerald Hensley,doctor,surgery,1
40,STF-bfc199cf,Brittany Farmer,doctor,emergency,0
19,STF-03fbeddc,Brittany Farmer,doctor,ICU,1
26,STF-ddd99f9e,Ashley Waller,nurse,ICU,1
14,STF-36140a6a,Margaret Hawkins DDS,nursing_assistant,emergency,0
2,STF-dfe95bc8,Shannon Jones,nurse,general_medicine,0
9,STF-103c818c,Judy Baker,doctor,emergency,0
51,STF-f5164783,Matthew Mcmillan,nurse,ICU,1
11,STF-997af03e,Anna Henderson,nurse,ICU,1
27,STF-dfe95bc8,Danny Morgan,nursing_assistant,emergency,1
45,STF-669a95d5,Helen Jones,nurse,ICU,0
8,STF-b77cdc60,Allison Hill,doctor,emergency,0
10,STF-a4c9b3f0,Sherry Decker,nurse,surgery,0
43,STF-b00ed3e2,Kenneth Scott,nursing_assistant,ICU,0
2,STF-6a7114cb,April Frost,nurse,ICU,0
22,STF-f37035ac,Dylan Miller,nurse,emergency,1
46,STF-6a7114cb,Kenneth Scott,nursing_assistant,ICU,1
41,STF-839e61f9,Anthony Humphrey,nurse,emergency,1
19,STF-b13eeb99,Zachary Hicks,nurse,emergency,1
