staff_id,staff_name,role,service
sdv-id-bntGzF,Allison Hill,nursing_assistant,emergency
sdv-id-SgGzBm,Jeffrey Chavez,nursing_assistant,ICU
sdv-id-vjFNyd,Monica Herrera,nurse,general_medicine
sdv-id-cwhiWb,Christina Walters,nurse,general_medicine
sdv-id-ramCOw,Anna Henderson,nurse,emergency
sdv-id-GuByMx,Anthony Rodriguez,nursing_assistant,surgery
sdv-id-nWMKtE,Lisa Jackson,nurse,general_medicine
sdv-id-yyESAs,Kelly Donovan,nurse,ICU
sdv-id-NXyVla,Lauren Daniels,doctor,ICU
sdv-id-bKDfnD,Richard Aguirre,nursing_assistant,emergency
sdv-id-JMoHJo,Lisa Archer,nurse,emergency
sdv-id-EMnVNX,Margaret Hawkins DDS,nurse,general_medicine
sdv-id-sqDHAU,Brian Rodriguez,nurse,ICU
sdv-id-qiDXGt,William Baker,nurse,surgery
sdv-id-iBBunQ,Michael Evans,nursing_assistant,general_medicine
sdv-id-remllz,Steve Sanchez,nurse,emergency
sdv-id-QbzyGB,Paula Moreno,doctor,general_medicine
sdv-id-YgjIOZ,Sharon Cherry,nurse,emergency
sdv-id-GDLEpk,Matthew Mcmillan,nursing_assistant,ICU
sdv-id-eHKXKW,Anthony Rodriguez,nurse,ICU
sdv-id-MteVEs,Daniel Baker,nurse,general_medicine
sdv-id-waXDIO,Lisa Barnes,doctor,general_medicine
sdv-id-LulKfg,Angie Henderson,nursing_assistant,ICU
sdv-id-oIAiBD,Megan Young,nurse,general_medicine
sdv-id-YYKdgF,Justin Baker,nurse,ICU
sdv-id-wxEsKC,Justin Baker,nursing_assistant,ICU
sdv-id-cWhpIT,Danny Morgan,nursing_assistant,ICU
sdv-id-XKeWiC,Brittany Farmer,nurse,emergency
sdv-id-IKDFVr,Matthew Mcmillan,nurse,surgery
sdv-id-qyLLjR,Amber Kidd,doctor,emergency
sdv-id-BedTfn,Brittney Phillips,nursing_assistant,emergency
sdv-id-BipHkE,Angelica Tucker,nursing_assistant,surgery
sdv-id-tFPMwf,Sarah Moore,doctor,surgery
sdv-id-KwucxV,Tricia Valencia,nurse,emergency
sdv-id-pdcoWo,Fred Smith,nurse,surgery
sdv-id-NfbGJz,Connie Lawrence,doctor,general_medicine
sdv-id-YlPgkT,Mike Allen,nurse,ICU
sdv-id-HZPXKC,Daniel Baker,nursing_assistant,ICU
sdv-id-aXgNrh,Jessica Holmes,nursing_assistant,general_medicine
sdv-id-JAgmSF,Stephanie Ross,nursing_assistant,emergency
sdv-id-ORgKfx,Cameron Parker,nursing_assistant,emergency
sdv-id-EQwJTJ,Philip Cannon,doctor,general_medicine
sdv-id-FsWXlJ,Shane Henderson,nurse,general_medicine
sdv-id-MTNFKF,Margaret Hawkins DDS,nurse,surgery
sdv-id-iCPBqE,Michael Evans,doctor,emergency
sdv-id-hSIXVg,Anthony Rodriguez,nurse,ICU
sdv-id-NtgcZc,Margaret Hawkins DDS,doctor,surgery
sdv-id-PhoetN,Steve Sanchez,nurse,general_medicine
sdv-id-zPqsjR,Sarah Moore,nurse,surgery
sdv-id-ftnhNF,Whitney Peters,nurse,surgery
sdv-id-GVBloz,Sharon Cherry,nursing_assistant,ICU
sdv-id-otZQol,Lauren Daniels,nurse,ICU
sdv-id-zqRjpW,Monica Herrera,nurse,general_medicine
sdv-id-QwElWB,Crystal Robinson,doctor,ICU
sdv-id-vMIQgv,Ryan Munoz,nurse,surgery
sdv-id-uklaIS,Deborah Figueroa,doctor,ICU
sdv-id-PkRkga,Sherri Baker,nurse,surgery
sdv-id-rZiBsO,Michael Evans,doctor,ICU
sdv-id-OZMZTv,Gabrielle Davis,nurse,general_medicine
sdv-id-vOhxFh,Sandra Aguilar,nurse,surgery
sdv-id-LHJFiI,Donald Wright,nursing_assistant,ICU
sdv-id-zFUivo,Connor West,doctor,general_medicine
sdv-id-SIQwAT,Whitney Peters,doctor,emergency
sdv-id-BMTcJP,Anthony Rodriguez,doctor,surgery
sdv-id-WFJvLZ,Christopher Bass,nursing_assistant,emergency
sdv-id-iyNhLq,Jamie Arnold,nurse,ICU
sdv-id-nbyGeY,Paul Jones,nurse,emergency
sdv-id-ZupxGh,Lisa Barnes,nurse,emergency
sdv-id-WiuIjL,Margaret Hawkins DDS,nursing_assistant,emergency
sdv-id-SmxwgD,Michael Lewis,nurse,ICU
sdv-id-hCkDtl,Philip Cannon,nursing_assistant,general_medicine
sdv-id-bBnEUN,Carol Tucker,nursing_assistant,emergency
sdv-id-KXIsBl,Tricia Valencia,doctor,surgery
sdv-id-WWchHO,Tricia Valencia,nurse,general_medicine
sdv-id-LxgmON,Danny Morgan,doctor,ICU
sdv-id-fQxnPo,Brittney Phillips,doctor,surgery
sdv-id-vUrxEY,Holly Wood,doctor,emergency
sdv-id-URiPGZ,Judy Baker,nurse,surgery
sdv-id-aoauJY,Sherri Baker,nurse,general_medicine
sdv-id-aXCcgN,Timothy Duncan,nurse,general_medicine
sdv-id-LFzpqq,James Ferrell,nursing_assistant,ICU
sdv-id-OPkHda,Matthew Foster,nurse,ICU
sdv-id-zLdcfK,Mike Allen,doctor,ICU
sdv-id-yohaVu,Rebecca Henderson,doctor,surgery
sdv-id-HYQejT,Cameron Parker,nursing_assistant,ICU
sdv-id-vBJKIP,Noah Rhodes,nurse,surgery
sdv-id-kwaIRM,Noah Rhodes,doctor,ICU
sdv-id-LkiOKY,Lisa Jackson,nurse,ICU
sdv-id-HqifLd,Brittney Phillips,doctor,emergency
sdv-id-VATgkb,Aaron Wise,nursing_assistant,general_medicine
sdv-id-xKLgmZ,Allison Hill,nurse,surgery
sdv-id-lMPddv,Anthony Humphrey,nurse,surgery
sdv-id-UxCxoh,Megan Young,nursing_assistant,general_medicine
sdv-id-mAvLFp,Megan Young,doctor,general_medicine
sdv-id-EczMTZ,Paul Jones,nursing_assistant,emergency
sdv-id-YcbsVA,Monica Herrera,nurse,general_medicine
sdv-id-DWFWzB,Brittney Phillips,doctor,general_medicine
sdv-id-uXKNjt,Stephen Mckee,doctor,ICU
sdv-id-diCQsJ,Elizabeth Fowler,nurse,general_medicine
sdv-id-lIFPue,Carol Tucker,nurse,surgery
sdv-id-lGFHuT,Mark Perez,nurse,ICU
sdv-id-CDLKol,John Pierce,nurse,ICU
sdv-id-tmZZRY,Brian Rodriguez,doctor,emergency
sdv-id-asqyPB,Jeffrey Chavez,nurse,surgery
sdv-id-XSVECv,Denise Jacobs,nursing_assistant,general_medicine
sdv-id-opaABq,Rebecca Valencia,nursing_assistant,general_medicine
sdv-id-zdLcem,Monica Herrera,nursing_assistant,general_medicine
sdv-id-SzznCy,Michael Lewis,nursing_assistant,surgery
sdv-id-ctJTgR,Rebecca Henderson,nursing_assistant,general_medicine
sdv-id-JxKPlx,Brittney Phillips,nurse,emergency
sdv-id-iwkFcp,Marc Moore,nurse,general_medicine
sdv-id-cuzqRa,Marc Moore,nurse,emergency
sdv-id-EljhVR,Shannon Jones,nurse,surgery
sdv-id-WTAqan,Lisa Jackson,nursing_assistant,general_medicine
sdv-id-zVOTQb,Jessica Holmes,nursing_assistant,general_medicine
sdv-id-WjSBHU,Steve Sanchez,nurse,emergency
sdv-id-odGHcb,Christina Walters,doctor,emergency
sdv-id-FhyAFU,Jeffrey Chavez,nurse,ICU
sdv-id-arwFmh,Sherri Baker,nurse,ICU
sdv-id-XgqvqK,Brent Jordan,nurse,emergency
sdv-id-GAioUK,Cristian Santos,nursing_assistant,general_medicine
sdv-id-yvPTsJ,William Baker,nurse,emergency
sdv-id-ShPjkl,Cassandra Gaines,doctor,surgery
sdv-id-hlLjfP,Lisa Hensley,nursing_assistant,ICU
sdv-id-lkOIVO,Brian Ramirez,doctor,surgery
sdv-id-HJvsRu,Elizabeth Fowler,nurse,surgery
sdv-id-tIddCH,Anthony Rodriguez,nurse,ICU
sdv-id-BGdjaw,Lisa Barnes,nurse,emergency
sdv-id-GWFcss,Richard Henson,nursing_assistant,emergency
sdv-id-kuMMWT,Danny Morgan,nurse,emergency
sdv-id-zGCbsI,Mark Perez,nursing_assistant,general_medicine
sdv-id-sgWper,Debra Davidson,nurse,general_medicine
sdv-id-chwMWj,Sarah Moore,nurse,emergency
sdv-id-uNCuXo,Cristian Santos,nursing_assistant,general_medicine
sdv-id-WvwnjA,Fred Smith,doctor,emergency
sdv-id-TWtSTg,Jamie Arnold,nursing_assistant,general_medicine
sdv-id-ltxlbP,Shannon Jones,nurse,general_medicine
sdv-id-GEhrKu,Cameron Parker,doctor,emergency
sdv-id-KrvtdY,Brian Rodriguez,nurse,general_medicine
sdv-id-jnwvdu,Christopher Bass,nursing_assistant,ICU
sdv-id-pmEinQ,William Baker,nurse,ICU
sdv-id-mqJoVK,Lauren Daniels,nurse,emergency
sdv-id-AeoTkK,Rebecca Henderson,nurse,ICU
sdv-id-TKrXyv,Crystal Robinson,nurse,surgery
sdv-id-RSwulZ,Matthew Foster,nurse,ICU
sdv-id-ZgCpvI,Whitney Peters,doctor,general_medicine
sdv-id-YzaSli,Gerald Hensley,nursing_assistant,general_medicine
sdv-id-QmSXzb,Noah Rhodes,nurse,surgery
sdv-id-vVlyxg,Anthony Rodriguez,nurse,ICU
sdv-id-xlNOiU,James Ferrell,nursing_assistant,surgery
sdv-id-NaknIY,Steve Sanchez,nursing_assistant,ICU
sdv-id-KUIPGm,Lisa Jackson,nurse,surgery
sdv-id-GETLrP,Sharon Cherry,nurse,surgery
sdv-id-XituKl,Stephanie Ross,nursing_assistant,ICU
sdv-id-SvKreT,Cameron Parker,nurse,emergency
sdv-id-FWAoaK,Shirley Suarez,nursing_assistant,emergency
sdv-id-ugsfgx,Rebecca Henderson,nurse,surgery
sdv-id-SlbcsG,James Brown,nurse,emergency
sdv-id-GuVqDS,Amy Silva,nursing_assistant,emergency
sdv-id-VVzhBP,Gabrielle Davis,nurse,general_medicine
sdv-id-ezYMwy,Tricia Valencia,nursing_assistant,general_medicine
sdv-id-NbvAke,Sierra Johnson,nurse,ICU
sdv-id-cqUxvU,Dylan Miller,doctor,ICU
sdv-id-fGSzIW,Jessica Callahan,doctor,surgery
sdv-id-wzRJlb,Sherri Baker,doctor,ICU
sdv-id-IkULzw,Jamie Arnold,doctor,ICU
sdv-id-tPvebR,Tracy House,doctor,general_medicine
sdv-id-jowcRN,Christine Wright,nurse,general_medicine
sdv-id-ODlnlA,Angelica Tucker,nurse,ICU
sdv-id-EAQSAv,Angie Henderson,nurse,emergency
sdv-id-mHhjlZ,John Whitehead,nurse,ICU
sdv-id-AGznwC,Rebecca Valencia,doctor,emergency
sdv-id-iOhPav,Donald Wright,doctor,ICU
sdv-id-GiDeJP,Zachary Hicks,nurse,surgery
sdv-id-kAjxXQ,Dylan Miller,nurse,emergency
sdv-id-VUVErK,Sierra Johnson,nursing_assistant,general_medicine
sdv-id-NVoZnD,Carol Tucker,nursing_assistant,ICU
sdv-id-WEXYNJ,Gina Moore,doctor,emergency
sdv-id-gDeBDK,Jeffrey Chavez,nurse,emergency
sdv-id-azpOZN,Zachary Hicks,doctor,emergency
sdv-id-QzDaLK,Holly Wood,nursing_assistant,ICU
sdv-id-URSLvh,Sierra Johnson,nurse,surgery
sdv-id-cHHaVj,Sharon Cochran,nurse,general_medicine
sdv-id-UbMfph,Marc Moore,nurse,ICU
sdv-id-yyBnlS,Brittney Phillips,nurse,general_medicine
sdv-id-gXdNGW,Tracy House,nursing_assistant,ICU
sdv-id-ypNduO,Jessica Smith,doctor,general_medicine
sdv-id-XeJdlj,Michael Evans,doctor,surgery
sdv-id-jcyvsn,Patty Perez,nurse,ICU
sdv-id-VfeCRk,Cristian Santos,doctor,general_medicine
sdv-id-xOwhsx,Elizabeth Fowler,nurse,emergency
sdv-id-nAhDoZ,Mike Allen,doctor,ICU
sdv-id-ghfOYX,Whitney Peters,doctor,emergency
sdv-id-AVuccs,Mike Allen,nurse,ICU
sdv-id-HDyuic,Mark Perez,doctor,ICU
sdv-id-BXfIzS,Christopher Bass,doctor,emergency
sdv-id-YFpijL,Sherry Decker,doctor,ICU
sdv-id-NKAyKk,Shannon Jones,nurse,general_medicine
sdv-id-luYYAw,Aimee Montoya,nursing_assistant,emergency
sdv-id-yRpkSL,Brian Rodriguez,doctor,surgery
sdv-id-jsivYj,Paula Moreno,nurse,ICU
sdv-id-QxzslB,Sherri Baker,nursing_assistant,general_medicine
sdv-id-QaRjWA,Amber Kidd,nurse,surgery
sdv-id-AdurSe,Danny Morgan,doctor,ICU
sdv-id-tapnHA,John Pierce,nursing_assistant,emergency
sdv-id-kHVAsE,Steve Sanchez,nurse,surgery
sdv-id-mSVOAS,Evelyn Galvan,nurse,ICU
sdv-id-CQAQkR,Connie Lawrence,doctor,general_medicine
sdv-id-kBcRrP,Patty Perez,nursing_assistant,general_medicine
sdv-id-ptMPRV,Sierra Johnson,nursing_assistant,ICU
sdv-id-cUjLAs,Sandra Aguilar,nurse,general_medicine
sdv-id-CewMFf,Elizabeth Fowler,nurse,general_medicine
sdv-id-zDbwip,Cameron Parker,nurse,ICU
sdv-id-EocvTu,Dylan Miller,nursing_assistant,ICU
sdv-id-SXzQGm,Shane Henderson,nurse,emergency
sdv-id-EsMudo,Eric Carney,nurse,surgery
sdv-id-DidlVV,Jamie Arnold,nursing_assistant,ICU
sdv-id-QOqggV,Amy Silva,nurse,surgery
sdv-id-SaNhpN,Brent Jordan,nurse,emergency
sdv-id-NZmrqc,Sierra Johnson,doctor,ICU
